,subtasks,description,crafter_subtasks
172,"['Collect Iron', 'Place Table', 'Collect Wood', 'Place Table']"," ""Seek out metals, find a sturdy seat, collect some timber, and place the table.""","['collect_iron', 'place_table', 'collect_wood', 'place_table']"
173,"['Defeat Skeleton with count 2', 'Collect Wood', 'Place Table with count 3', 'Make Wood Pickaxe', 'Collect Stone', 'Place Stone']"," ""Slay the two Skeletons, collect firewood, build three Tables, craft a Wood Pickaxe, mine Stones, and place Stone blocks.""","['defeat_skeleton', 'defeat_skeleton', 'collect_wood', 'place_table', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'place_stone']"
174,"['Collect Stone', 'Place Stone', 'Collect Sapling']","Gather pebbles, position them, and accumulate sprouts.","['collect_stone', 'place_stone', 'collect_sapling']"
175,"['Collect Iron', 'Make Iron Sword', 'Defeat Zombie']"," ""Seek the precious stone, forge a blade from it, and then with this weapon, lay low the unholy beast.""","['collect_iron', 'make_iron_sword', 'defeat_zombie']"
176,"['Collect Wood', 'Place Furnace', 'Wake Up']"," 'Collect logs, kindle a blaze, and awaken from slumber.'","['collect_wood', 'place_furnace', 'wake_up']"
177,"['Make Iron Pickaxe', 'Collect Diamond', 'Collect Drink']","""Acquire an Iron Pickaxe, mine a Diamond, and gather a Beverage.""","['make_iron_pickaxe', 'collect_diamond', 'collect_drink']"
178,"['Make Wood Pickaxe', 'Collect Sapling', 'Collect Iron']","""Gather materials to craft a wooden pickaxe, obtain a sapling, and collect iron.""","['make_wood_pickaxe', 'collect_sapling', 'collect_iron']"
179,"['Collect Coal', 'Place Table', 'Make Wood Pickaxe']","""Gather coal, position a table, and manufacture a wooden pickaxe.""","['collect_coal', 'place_table', 'make_wood_pickaxe']"
180,"['Make Wood Sword', 'Collect Sapling', 'Place Plant']"," ""Fashion a wooden weapon, gather a sapling, and place a blossom beside it.""","['make_wood_sword', 'collect_sapling', 'place_plant']"
181,"['Collect Drink', 'Place Table with count 3', 'Make Wood Pickaxe with count 2', 'Collect Stone', 'Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']","""Gather a beverage, construct a table with a quantity of three, craft two wooden pickaxes, accumulate stone, forge a stone pickaxe, obtain iron, and manufacture an iron sword.""","['collect_drink', 'place_table', 'place_table', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
182,"['Collect Wood with count 3', 'Eat Plant', 'Collect Stone with count 1']","Gather three pieces of wood, consume a plant, and obtain a stone.","['collect_wood', 'collect_wood', 'collect_wood', 'eat_plant', 'collect_stone']"
183,"['Collect Diamond', 'Collect Stone with count 6', 'Place Furnace']"," ""Seek a diamond, a half-dozen stones, and a furnace for the task of positioning.""","['collect_diamond', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'collect_stone', 'place_furnace']"
184,"['Eat Cow with count 2', 'Place Table', 'Make Wood Sword with count 1']"," ""Slay two oxen, hew a table from the timber, and forge a wooden sword in the fires of the smithy.""","['eat_cow', 'eat_cow', 'place_table', 'make_wood_sword']"
185,"['Make Iron Pickaxe', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone with count 3', 'Make Stone Pickaxe']"," ""Seek three stones, shape a stone pick, cut trees for timber, carve a wooden pick, build a table, and, lastly, forge an iron pick.""","['make_iron_pickaxe', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'collect_stone', 'collect_stone', 'make_stone_pickaxe']"
186,"['Defeat Zombie with count 2', 'Eat Cow with count 3', 'Collect Stone', 'Place Stone']","In the virtual environment, an agent should aim to vanquish a pair of zombies, devour three cows, gather a stone, and subsequently position the stone.","['defeat_zombie', 'defeat_zombie', 'eat_cow', 'eat_cow', 'eat_cow', 'collect_stone', 'place_stone']"
187,"['Eat Plant', 'Defeat Skeleton', 'Make Stone Pickaxe', 'Collect Iron']","Instruct the agent to consume a vegetable, vanquish a skeletal adversary, craft a chiseled stone tool for mining, and amass a collection of metallic mineral elements.","['eat_plant', 'defeat_skeleton', 'make_stone_pickaxe', 'collect_iron']"
188,"['Collect Wood with count 2', 'Collect Wood with count 3', 'Eat Plant']","""Gather timber twice, retrieve timber three times, and consume vegetation.""","['collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'eat_plant']"
189,"['Collect Coal', 'Make Iron Pickaxe', 'Collect Coal']"," ""Gather coal, then shape an iron pickaxe, and finally, seek more coal.""In the style of Tolkien, the instruction with the same SHORT sentence size would be: ""Gather coal, then shape an iron pickaxe, and finally, seek more coal.""This instruction is written in a simple and straightforward manner, just like the writing style of J.R.R. Tolkien. The sentences are short and to the point, making it easy to understand and follow. The use of the word ""then"" connects the actions in a logical order, while the word ""finally"" adds a sense of conclusion to the instruction. The instruction is also written in a conversational tone, as if the reader is being spoken to directly by the author. This adds a sense of familiarity and comfort to the instruction, making it feel more like a conversation between friends than a set of instructions. Overall, the instruction is a great","['collect_coal', 'make_iron_pickaxe', 'collect_coal']"
190,"['Make Wood Pickaxe with count 3', 'Collect Stone', 'Place Furnace']","""Craft a wooden pickaxe in multiples of three, gather some rocks, and set up a furnace.""","['make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'place_furnace']"
191,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal']"," ""Collect logs for a blaze, build a sturdy table, carve a pick from the timber, and delve into the earth for coal.""","['collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_coal']"
192,"['Collect Wood with count 4', 'Place Table with count 4', 'Make Wood Pickaxe', 'Collect Coal']","""Gather four pieces of timber, construct a table using the same quantity, fashion a wooden pickaxe, and excavate coal.""","['collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table', 'place_table', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_coal']"
193,"['Collect Wood', 'Place Table with count 2', 'Make Wood Pickaxe']"," ""Collect firewood, build a table of two pieces, and fashion a wooden pick from the trees.""","['collect_wood', 'place_table', 'place_table', 'make_wood_pickaxe']"
194,"['Collect Wood', 'Collect Diamond', 'Make Stone Sword']","Gather timber, acquire a diamond, and manufacture a stone sword in the virtual environment.","['collect_wood', 'collect_diamond', 'make_stone_sword']"
195,"['Collect Drink', 'Wake Up with count 1', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal with count 3', 'Make Iron Pickaxe']"," ""Secure a draught, rise once, place a table, carve a wooden pick, collect three coals, and forge an iron pick.""","['collect_drink', 'wake_up', 'place_table', 'make_wood_pickaxe', 'collect_coal', 'collect_coal', 'collect_coal', 'make_iron_pickaxe']"
196,"['Collect Drink with count 3', 'Collect Sapling', 'Make Wood Pickaxe', 'Collect Coal with count 2', 'Make Iron Pickaxe', 'Collect Diamond']"," ""Seek three draughts, a young tree, carve a wooden pick, find two lumps of coal, forge an iron pick, and delve for a gem.""","['collect_drink', 'collect_drink', 'collect_drink', 'collect_sapling', 'make_wood_pickaxe', 'collect_coal', 'collect_coal', 'make_iron_pickaxe', 'collect_diamond']"
197,"['Collect Diamond with count 3', 'Make Iron Pickaxe', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone']"," ""Seek three Diamonds, forge an Iron Pickaxe, find Wood, build a Table, craft a Wood Pickaxe, and collect Stone.""","['collect_diamond', 'collect_diamond', 'collect_diamond', 'make_iron_pickaxe', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone']"
198,"['Defeat Zombie', 'Collect Coal', 'Make Iron Pickaxe']"," ""Slay the wights, collect chunks of coal, and fashion an iron pick from the forge.""","['defeat_zombie', 'collect_coal', 'make_iron_pickaxe']"
199,"['Make Iron Sword', 'Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe']"," ""Smith an iron sword, carve a wooden pick, mine for coal, and fashion an iron pick. 'Tis a task for the stout-hearted and skilled.""","['make_iron_sword', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
200,"['Collect Sapling', 'Place Plant', 'Collect Wood with count 2']"," ""Seek a young sapling, place a plant, and amass logs, two in number.""","['collect_sapling', 'place_plant', 'collect_wood', 'collect_wood']"
201,"['Eat Cow', 'Make Wood Pickaxe', 'Collect Stone']","""Consume a bovine, craft a wooden tool for mining rock, and gather the mineral from the environment.""","['eat_cow', 'make_wood_pickaxe', 'collect_stone']"
202,"['Defeat Skeleton', 'Place Stone', 'Place Table', 'Make Wood Pickaxe']"," ""Slay the bony foe, place a stone, adorn a room with a piece of furniture, and craft a wooden pickaxe.""","['defeat_skeleton', 'place_stone', 'place_table', 'make_wood_pickaxe']"
203,"['Collect Wood with count 1', 'Eat Cow with count 3', 'Collect Sapling']"," ""Seek a stave, feast on three beasts, and find a sproutling.""","['collect_wood', 'eat_cow', 'eat_cow', 'eat_cow', 'collect_sapling']"
204,"['Collect Wood', 'Place Table', 'Collect Sapling']","Gather firewood, construct a table, and obtain a young tree.","['collect_wood', 'place_table', 'collect_sapling']"
205,"['Collect Iron', 'Make Wood Sword', 'Defeat Skeleton']","""Gather the essential mineral, construct a timber weapon, and vanquish the animated skeletal remains.""","['collect_iron', 'make_wood_sword', 'defeat_skeleton']"
206,"['Collect Wood with count 2', 'Collect Wood', 'Place Table']","""Gather timber twice, retrieve additional timber, and set up a table.""","['collect_wood', 'collect_wood', 'collect_wood', 'place_table']"
207,"['Collect Stone', 'Make Stone Pickaxe', 'Collect Iron with count 3', 'Make Iron Sword']"," ""Secure a stone, fashion an iron pickaxe, obtain three ingots of precious metal, and forge a sword of renown.""","['collect_stone', 'make_stone_pickaxe', 'collect_iron', 'collect_iron', 'collect_iron', 'make_iron_sword']"
208,"['Collect Coal', 'Eat Plant', 'Collect Coal', 'Make Iron Pickaxe with count 2']","""Gather two units of coal, consume vegetation for sustenance, and forge a iron pickaxe twice using the accumulated coal.""","['collect_coal', 'eat_plant', 'collect_coal', 'make_iron_pickaxe', 'make_iron_pickaxe']"
209,"['Eat Plant', 'Collect Sapling with count 3', 'Eat Cow']"," ""Partake of a leafy herb, collect three tender saplings, and enjoy a hearty meal of a cow's flesh.""","['eat_plant', 'collect_sapling', 'collect_sapling', 'collect_sapling', 'eat_cow']"
210,"['Collect Iron', 'Make Wood Sword', 'Defeat Skeleton']"," ""Seek the precious stone, shape a wooden spear, and lay low the undead bones.""","['collect_iron', 'make_wood_sword', 'defeat_skeleton']"
211,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe', 'Collect Diamond']"," ""Secure timber from the forest, craft a table from the wood, forge a pickaxe of wood, mine coal with the wooden tool, smith an iron pickaxe from the coal, and delve deep into the earth to find diamonds.""","['collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe', 'collect_diamond']"
212,"['Eat Cow', 'Make Iron Pickaxe', 'Collect Diamond']"," ""In the land of the digital, an adventurer must dine on a cow, craft a tool of iron for delving, and seek a gem of worth.""","['eat_cow', 'make_iron_pickaxe', 'collect_diamond']"
213,"['Collect Drink with count 3', 'Collect Sapling', 'Make Wood Pickaxe', 'Collect Coal with count 2', 'Make Iron Pickaxe', 'Collect Diamond']","""Gather three Drinks, a Sapling, craft a Wood Pickaxe, acquire two units of Coal, fashion an Iron Pickaxe, and extract a Diamond.""","['collect_drink', 'collect_drink', 'collect_drink', 'collect_sapling', 'make_wood_pickaxe', 'collect_coal', 'collect_coal', 'make_iron_pickaxe', 'collect_diamond']"
214,"['Collect Diamond', 'Collect Wood with count 4', 'Place Table with count 1']","""Gather a diamond, accumulate 4 pieces of timber, and position a single table.""","['collect_diamond', 'collect_wood', 'collect_wood', 'collect_wood', 'collect_wood', 'place_table']"
215,"['Make Iron Pickaxe with count 3', 'Collect Diamond', 'Collect Diamond with count 3']"," ""Seek out three bars of iron, and with them, forge a pickaxe. Then, delve deep into the earth, and gather nine gems of diamond.""","['make_iron_pickaxe', 'make_iron_pickaxe', 'make_iron_pickaxe', 'collect_diamond', 'collect_diamond', 'collect_diamond', 'collect_diamond']"
216,"['Defeat Zombie', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe with count 2']","""Vanquish the undead, gather timber, construct a table, craft a wooden pickaxe, accumulate rocks, and manufacture two stone pickaxes.""","['defeat_zombie', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'make_stone_pickaxe']"
217,"['Collect Coal', 'Make Iron Pickaxe', 'Make Wood Pickaxe', 'Collect Stone', 'Place Stone']","""Gather coal, manufacture an iron pickaxe, produce a wooden pickaxe, accumulate stones, and position them.""","['collect_coal', 'make_iron_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'place_stone']"
218,"['Make Wood Pickaxe', 'Defeat Zombie', 'Make Iron Pickaxe']"," ""Forge an iron implement for delving into the earth, slay a wicked wraith that roams, and craft a wooden pick for unearthing treasures.""","['make_wood_pickaxe', 'defeat_zombie', 'make_iron_pickaxe']"
219,"['Collect Stone with count 3', 'Place Stone', 'Collect Wood with count 1', 'Place Table', 'Make Wood Sword']","""Gather three Stones, position them, acquire a single piece of Wood, construct a Table using it, and manufacture a Wood Sword.""","['collect_stone', 'collect_stone', 'collect_stone', 'place_stone', 'collect_wood', 'place_table', 'make_wood_sword']"
220,"['Collect Wood with count 2', 'Collect Wood', 'Place Table']"," ""Seek the forest's bounty, twice gather its sturdy timber. Then, retrieve more timber, and set up a table for feasting and merriment.""","['collect_wood', 'collect_wood', 'collect_wood', 'place_table']"
221,"['Make Stone Sword', 'Eat Cow', 'Make Wood Pickaxe']"," ""Fashion a stone knife, feast on a cow, and build a wooden pick.""","['make_stone_sword', 'eat_cow', 'make_wood_pickaxe']"
222,"['Defeat Skeleton', 'Eat Cow', 'Place Plant']","""Vanquish the skeletal adversary, consume a bovine entity, and situate a vegetal organism.""","['defeat_skeleton', 'eat_cow', 'place_plant']"
223,"['Collect Sapling', 'Make Stone Pickaxe', 'Collect Iron']"," ""Find a sapling, shaping a flint chisel, and delve into the earth for iron.""","['collect_sapling', 'make_stone_pickaxe', 'collect_iron']"
224,"['Make Iron Sword', 'Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe']","""Forging an iron sword, crafting a wooden pickaxe, gathering coal, and manufacturing an iron pickaxe are the tasks to be accomplished.""","['make_iron_sword', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
225,"['Collect Stone', 'Place Furnace', 'Eat Cow with count 3']","""Gather a rock, construct a stove, and dine on three cattle.""","['collect_stone', 'place_furnace', 'eat_cow', 'eat_cow', 'eat_cow']"
226,"['Defeat Zombie', 'Collect Stone', 'Defeat Skeleton']","In the virtual environment, instruct the agent to vanquish the undead creature, gather a rock, and overcome the bony foe.","['defeat_zombie', 'collect_stone', 'defeat_skeleton']"
227,"['Collect Stone with count 1', 'Make Stone Pickaxe with count 2', 'Wake Up']","""Gather a single Stone, craft a pair of Stone Pickaxes, and rouse yourself from slumber.""","['collect_stone', 'make_stone_pickaxe', 'make_stone_pickaxe', 'wake_up']"
228,"['Make Iron Pickaxe', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone']"," ""Forged be an iron pick, gather wood, set a table, hewn be a wooden pick, and glean stones.""","['make_iron_pickaxe', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone']"
229,"['Defeat Zombie with count 1', 'Collect Coal', 'Make Stone Pickaxe', 'Collect Iron']"," ""Dispatch the lone undead creature, gather coal, forge a stone pick, and mine for iron.""","['defeat_zombie', 'collect_coal', 'make_stone_pickaxe', 'collect_iron']"
230,"['Collect Stone', 'Collect Stone', 'Eat Cow']"," ""Gather stones, collect boulders, and feast on beasts in the enchanted realm.""","['collect_stone', 'collect_stone', 'eat_cow']"
231,"['Defeat Zombie', 'Make Wood Pickaxe', 'Collect Coal', 'Make Iron Pickaxe']","""Vanquish the undead creature, construct a wooden pickaxe, gather coal, and manufacture an iron pickaxe.""","['defeat_zombie', 'make_wood_pickaxe', 'collect_coal', 'make_iron_pickaxe']"
232,"['Make Iron Sword', 'Collect Wood', 'Place Table with count 4', 'Make Wood Sword']"," ""Forged be an Iron Sword, a store of Timber gathered, a Table set with four, and a Wooden Sword crafted.""","['make_iron_sword', 'collect_wood', 'place_table', 'place_table', 'place_table', 'place_table', 'make_wood_sword']"
233,"['Collect Sapling', 'Place Plant', 'Eat Plant']"," ""Find a sapling, plant it in the earth, and dine on the greenery.""","['collect_sapling', 'place_plant', 'eat_plant']"
234,"['Eat Cow with count 3', 'Collect Wood with count 1', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe with count 6', 'Collect Stone', 'Place Furnace']"," ""Slay three beasts of burden, gather timber twice, build a table, carve a wooden pickaxe from six planks, delve into the earth for stone, and forge a furnace.""","['eat_cow', 'eat_cow', 'eat_cow', 'collect_wood', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'place_furnace']"
235,"['Defeat Zombie', 'Collect Sapling', 'Collect Wood with count 1']","""Vanquish the undead creature, gather a young tree, and obtain a single piece of lumber.""","['defeat_zombie', 'collect_sapling', 'collect_wood']"
236,"['Collect Sapling', 'Eat Cow', 'Collect Diamond']"," ""Seek a young tree, tend to a cow, and find a gem.""","['collect_sapling', 'eat_cow', 'collect_diamond']"
237,"['Eat Cow', 'Make Iron Pickaxe', 'Collect Wood']"," ""In the land of the digital, an envoy must dine on a cow, craft a tool of iron for mining, and collect wood from the trees.""","['eat_cow', 'make_iron_pickaxe', 'collect_wood']"
238,"['Collect Wood', 'Place Table with count 2', 'Make Wood Pickaxe']","""Gather firewood, construct a table with exactly two items, and craft a wooden pickaxe.""","['collect_wood', 'place_table', 'place_table', 'make_wood_pickaxe']"
239,"['Defeat Skeleton', 'Eat Cow', 'Make Stone Pickaxe', 'Collect Iron']"," 'Bid the valiant agent to smite the spectral foe, feast on a cow, forge a stone pickaxe, and mine for iron.'","['defeat_skeleton', 'eat_cow', 'make_stone_pickaxe', 'collect_iron']"
240,"['Eat Plant', 'Collect Wood', 'Place Table']","""Consume vegetation, gather timber, and situate a piece of furniture.""","['eat_plant', 'collect_wood', 'place_table']"
241,"['Defeat Skeleton', 'Place Stone', 'Place Table', 'Make Wood Pickaxe']","""Vanquish the skeletal adversary, position a stone, furnish an item of furniture, and manufacture a wooden pickaxe.""","['defeat_skeleton', 'place_stone', 'place_table', 'make_wood_pickaxe']"
242,"['Collect Iron', 'Make Iron Sword', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe']"," 'Seek the vital mineral, forge an iron sword, lay a table, carve a wooden pickaxe, collect stones, and chisel a stone pickaxe.'","['collect_iron', 'make_iron_sword', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe']"
243,"['Defeat Zombie', 'Collect Coal', 'Collect Wood']"," 'Bid the agent to bring low the unliving, gather the black stone, and gather the wooden timber in the virtual realm.'","['defeat_zombie', 'collect_coal', 'collect_wood']"
244,"['Make Wood Pickaxe', 'Collect Stone with count 1', 'Make Stone Pickaxe', 'Collect Iron']","""Fabricate a wooden pickaxe, gather a single unit of stone, manufacture a stone pickaxe, and extract iron.""","['make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'collect_iron']"
245,"['Make Stone Sword', 'Collect Wood', 'Defeat Zombie']","""Craft a stone blade, gather timber, and vanquish a zombie.""","['make_stone_sword', 'collect_wood', 'defeat_zombie']"
246,"['Collect Sapling', 'Collect Drink with count 3', 'Make Iron Pickaxe']","""Gather a young tree, a beverage in the quantity of three, and a metal pickaxe.""","['collect_sapling', 'collect_drink', 'collect_drink', 'collect_drink', 'make_iron_pickaxe']"
247,"['Collect Wood', 'Place Table', 'Make Wood Sword']","""Gather timber, construct a table, and fashion a wooden weapon.""","['collect_wood', 'place_table', 'make_wood_sword']"
248,"['Make Wood Pickaxe', 'Eat Cow with count 2', 'Collect Wood']","""Fashion a wooden pickaxe, dine on a pair of bovines, and gather timber.""","['make_wood_pickaxe', 'eat_cow', 'eat_cow', 'collect_wood']"
249,"['Collect Drink with count 1', 'Make Wood Pickaxe', 'Collect Coal']","""Gather a single beverage, craft a wooden pickaxe, and amass some coal.""","['collect_drink', 'make_wood_pickaxe', 'collect_coal']"
250,"['Defeat Skeleton', 'Collect Wood', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Place Furnace with count 6']"," ""Slay the bony foe, gather logs, shape a table, carve a wooden pick, collect stones, and kindle a furnace with six coals.""","['defeat_skeleton', 'collect_wood', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'place_furnace', 'place_furnace', 'place_furnace', 'place_furnace', 'place_furnace', 'place_furnace']"
251,"['Eat Cow', 'Place Table', 'Place Table', 'Make Wood Pickaxe', 'Collect Stone', 'Place Stone']", 'Assail the undead sixfold'.,"['eat_cow', 'place_table', 'place_table', 'make_wood_pickaxe', 'collect_stone', 'place_stone']"
252,"['Collect Stone', 'Make Stone Pickaxe with count 2', 'Make Wood Pickaxe with count 1', 'Collect Stone', 'Make Stone Sword']","""Gather two stones to craft a stone pickaxe, obtain one piece of wood to create a wooden pickaxe, collect more stones for a stone sword, and forge all these tools.""","['collect_stone', 'make_stone_pickaxe', 'make_stone_pickaxe', 'make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
253,"['Make Iron Sword', 'Make Stone Sword', 'Make Stone Pickaxe', 'Collect Iron']"," ""Fashion an iron sword, hew a rocky weapon, chisel a stone pick, and mine for iron.""","['make_iron_sword', 'make_stone_sword', 'make_stone_pickaxe', 'collect_iron']"
254,"['Make Stone Sword', 'Collect Stone', 'Place Stone']"," ""Craft a stone knife, collect some stones, and place them with care.""","['make_stone_sword', 'collect_stone', 'place_stone']"
255,"['Eat Cow with count 2', 'Place Table', 'Make Wood Sword with count 1']","""Consume two Bovines, construct a Table, and manufacture a single Wooden Sword.""","['eat_cow', 'eat_cow', 'place_table', 'make_wood_sword']"
256,"['Collect Drink', 'Make Wood Pickaxe with count 1', 'Collect Stone with count 2']"," ""Prepare a drink, shape a wooden pick from a single tree, and collect two stones, precious and hard.""","['collect_drink', 'make_wood_pickaxe', 'collect_stone', 'collect_stone']"
257,"['Collect Iron with count 3', 'Collect Coal', 'Collect Diamond']"," ""Seek out three pieces of Iron, delve into the earth for Coal, and find a gleaming Diamond amidst the land.""","['collect_iron', 'collect_iron', 'collect_iron', 'collect_coal', 'collect_diamond']"
258,"['Collect Stone', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe']"," ""Gather some stones, shape a wooden pick, seek more stones, and forge a stone pick.""","['collect_stone', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe']"
259,"['Collect Drink', 'Collect Stone with count 2', 'Make Stone Sword']","""Gather a beverage, acquire two stones, and craft a stone sword.""","['collect_drink', 'collect_stone', 'collect_stone', 'make_stone_sword']"
260,"['Collect Drink', 'Collect Sapling', 'Place Plant']","""Acquire a beverage, gather a young tree, and position the greenery.""","['collect_drink', 'collect_sapling', 'place_plant']"
261,"['Make Iron Pickaxe', 'Collect Diamond', 'Collect Sapling', 'Place Plant', 'Eat Plant']","""Fabricate an iron pickaxe, mine a diamond, gather a sapling, plant it in the ground, and then consume the resulting vegetation.""","['make_iron_pickaxe', 'collect_diamond', 'collect_sapling', 'place_plant', 'eat_plant']"
262,"['Defeat Zombie', 'Make Stone Pickaxe', 'Collect Iron', 'Make Iron Sword']"," ""Slay the unliving threat, craft a stone tool for mining, gather the shining ores, and forge a weapon of iron.""","['defeat_zombie', 'make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
263,"['Make Wood Pickaxe', 'Collect Stone', 'Make Stone Sword with count 1']"," ""Fashion a pickaxe from wood, gather some stones, and forge a sword of stone with a single unit.""","['make_wood_pickaxe', 'collect_stone', 'make_stone_sword']"
264,"['Defeat Zombie', 'Collect Iron with count 1', 'Make Iron Sword']","""Vanquish the undead foe, gather a single unit of metallic mineral, and forge an iron weapon.""","['defeat_zombie', 'collect_iron', 'make_iron_sword']"
265,"['Defeat Zombie', 'Collect Sapling', 'Place Plant']","""Vanquish the undead creature, gather a young tree, and position a vegetation on the ground.""","['defeat_zombie', 'collect_sapling', 'place_plant']"
266,"['Collect Coal', 'Collect Drink', 'Place Stone with count 3']"," ""Gather coal, as one does, then find a drink, and finally, place a stone with three upon it.""","['collect_coal', 'collect_drink', 'place_stone', 'place_stone', 'place_stone']"
267,"['Collect Diamond with count 1', 'Collect Wood', 'Eat Cow']","""Gather a single Diamond, acquire Wood, and consume Cow.""","['collect_diamond', 'collect_wood', 'eat_cow']"
268,"['Collect Diamond with count 1', 'Collect Wood', 'Eat Cow']"," ""Seek a single gem of Diamond, find Wood, and dine on Cow.""","['collect_diamond', 'collect_wood', 'eat_cow']"
269,"['Collect Sapling', 'Collect Stone', 'Collect Coal', 'Make Iron Pickaxe', 'Collect Diamond']"," ""Seek a young tree, a stony heart, and a lump of coal. Fashion an iron pick from these, and delve deep for the gleaming gems.""","['collect_sapling', 'collect_stone', 'collect_coal', 'make_iron_pickaxe', 'collect_diamond']"
270,"['Make Wood Pickaxe', 'Defeat Zombie', 'Make Iron Pickaxe']","""Fabricate an iron tool for mining, eliminate a menacing undead creature, and construct a wooden pickaxe for excavation.""","['make_wood_pickaxe', 'defeat_zombie', 'make_iron_pickaxe']"
271,"['Make Iron Pickaxe', 'Collect Diamond', 'Collect Sapling with count 1', 'Place Plant']"," ""Seek out an Iron Pickaxe, delve into the earth for a Diamond, gather a Sapling, and let it grow anew in the soil.""","['make_iron_pickaxe', 'collect_diamond', 'collect_sapling', 'place_plant']"
272,"['Collect Wood', 'Place Table', 'Make Wood Pickaxe']"," ""Collect logs for a fire, build a sturdy table, and fashion a wooden pickaxe.""","['collect_wood', 'place_table', 'make_wood_pickaxe']"
273,"['Collect Sapling', 'Eat Cow', 'Collect Drink']","""Gather a young tree, consume a bovine, and obtain a beverage.""","['collect_sapling', 'eat_cow', 'collect_drink']"
274,"['Eat Cow with count 1', 'Place Plant', 'Collect Stone', 'Make Stone Sword']"," ""Take a bite of cow's flesh, place a sprout, find a stone, and forge a weapon from the stone.""","['eat_cow', 'place_plant', 'collect_stone', 'make_stone_sword']"
275,"['Eat Cow', 'Collect Sapling', 'Eat Plant']"," ""Partake of a cow, acquire a sapling, and taste a plant.""","['eat_cow', 'collect_sapling', 'eat_plant']"
276,"['Collect Sapling', 'Eat Cow', 'Collect Drink']"," ""Acquire a sapling, feast on a cow, and quaff a drink.""","['collect_sapling', 'eat_cow', 'collect_drink']"
277,"['Make Stone Sword with count 3', 'Place Stone', 'Collect Sapling']","""Fashion a trio of Stone Swords, position a Stone block, and gather a Sapling.""","['make_stone_sword', 'make_stone_sword', 'make_stone_sword', 'place_stone', 'collect_sapling']"
278,"['Eat Cow', 'Make Wood Pickaxe', 'Defeat Skeleton']"," ""Partake of the noble beef, shape a tool of wood for delving, and defeat a foe of bone.""","['eat_cow', 'make_wood_pickaxe', 'defeat_skeleton']"
279,"['Collect Stone', 'Make Wood Pickaxe', 'Collect Stone', 'Make Stone Pickaxe with count 2', 'Collect Iron', 'Make Iron Sword']","""Gather stones, craft a wooden pickaxe, acquire more stones, fashion two stone pickaxes, mine iron, and forge an iron sword.""","['collect_stone', 'make_wood_pickaxe', 'collect_stone', 'make_stone_pickaxe', 'make_stone_pickaxe', 'collect_iron', 'make_iron_sword']"
